miRNA	precursor
miR-3152-3p	mir-3152
miR-3074-5p	mir-3074
miR-3074-3p	mir-3074
miR-3156-5p	mir-3156-1,mir-3156-2,mir-3156-3
miR-3156-3p	mir-3156-1,mir-3156-2
miR-3157-5p	mir-3157
miR-3157-3p	mir-3157
miR-3158-5p	mir-3158-2,mir-3158-1
miR-3158-3p	mir-3158-2,mir-3158-1
miR-3160-5p	mir-3160-2,mir-3160-1
miR-3160-3p	mir-3160-2,mir-3160-1
miR-3162-5p	mir-3162
miR-3162-3p	mir-3162
miR-3173-5p	mir-3173
miR-3173-3p	mir-3173
miR-323b-5p	mir-323b
miR-323b-3p	mir-323b
miR-3177-5p	mir-3177
miR-3177-3p	mir-3177
miR-3180-5p	mir-3180-3,mir-3180-1,mir-3180-2
miR-3180-3p	mir-3180-3,mir-3180-1,mir-3180-2
miR-3184-5p	mir-3184
miR-3184-3p	mir-3184
miR-3065-5p	mir-3065
miR-3065-3p	mir-3065
miR-3186-5p	mir-3186
miR-3186-3p	mir-3186
miR-3187-5p	mir-3187
miR-3187-3p	mir-3187
miR-3189-5p	mir-3189
miR-3189-3p	mir-3189
miR-3190-5p	mir-3190
miR-3190-3p	mir-3190
miR-3191-5p	mir-3191
miR-3191-3p	mir-3191
miR-3192-5p	mir-3192
miR-3192-3p	mir-3192
miR-3194-5p	mir-3194
miR-3194-3p	mir-3194
miR-548x-5p	mir-548x
miR-548x-3p	mir-548x,mir-548x-2
miR-3200-5p	mir-3200
miR-3200-3p	mir-3200
miR-514b-5p	mir-514b
miR-514b-3p	mir-514b
miR-2355-5p	mir-2355
miR-2355-3p	mir-2355
miR-500b-5p	mir-500b
miR-500b-3p	mir-500b
miR-3605-5p	mir-3605
miR-3605-3p	mir-3605
miR-3606-5p	mir-3606
miR-3606-3p	mir-3606
miR-3613-5p	mir-3613
miR-3613-3p	mir-3613
miR-3614-5p	mir-3614
miR-3614-3p	mir-3614
miR-3616-5p	mir-3616
miR-3616-3p	mir-3616
